user_input,response,reference,retrieved_contexts,_intent_expected,_intent_actual
Parle-moi de toi,"👋 Salut ! Je suis Yann, développeur logiciel passionné basé à Chicoutimi au Québec. 💻 

J'ai 21 ans et j'ai grandi au Cameroun avant de m'installer au Canada — ce parcours international m'a vraiment forgé une grande adaptabilité et une ouverture d'esprit que j'apporte dans tous mes projets. 🌍

Ce qui me drive vraiment, c'est de **relever des défis techniques complexes**. J'adore ce moment où tout s'éclaire sur un problème difficile, et le fait de ne jamais faire deux fois la même chose me permet de laisser parler ma créativité. Que ce soit en équipe — où j'aime être challengé par mes collègues — ou en autonomie, je gère bien le stress et les deadlines, ce qui me rend plus efficace sous pression. 💪

Je suis diplômé en Techniques de l'informatique au Cégep de Chicoutimi, et je construis des applications web, des systèmes IA, avec l'ambition de devenir chef de projet et entrepreneur.

**Tu veux en savoir plus sur mes projets ou mes compétences techniques ?** ✨","Yann Willy Jordan Pokam Teguia est un jeune diplômé en Techniques de l'informatique au Cégep de Chicoutimi, passionné par les systèmes intelligents, la logique et les projets qui allient rigueur et créativité.","[""Contexte documentaire :\n[Source 1 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stimule ma créativité et productivité. Je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace sous pression.\n(Pertinence: 0.50)\n\n---\n\n[Source 2 - Profil]\nJe suis né le 5 août 2004 au Cameroun. J'ai 21 ans et je suis actuellement basé à Chicoutimi au Québec, Canada. Mon parcours international m",VECTOR,VECTOR
Quelle est ta philosophie de code ?,"💻 Bonne question ! Ma philosophie de code tourne autour de trois piliers : **qualité**, **élégance** et **responsabilité**.

D'abord, je privilégie la qualité et la maintenabilité avant tout. Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement — c'est pour ça que je soigne la clarté de la structure et la lisibilité du code. Je préfère toujours une solution élégante et bien pensée à une solution rapide et bancale. L'élégance se traduit directement dans la maintenance à long terme. 🎯

Mais pour moi, être développeur, c'est aussi aller au-delà du simple fait d'écrire du code. Je comprends le besoin métier, je structure la solution en conséquence, et j'anticipe les erreurs possibles dès la conception. C'est cette approche holistique qui fait la différence.

En résumé : **code propre, architecture réfléchie, et une vraie compréhension du problème à résoudre**. ✨

Tu travailles sur un projet en ce moment ? Je serais curieux de savoir comment tu aborderais un défi spécifique !","Il privilégie la qualité du code, la clarté de la structure et la maintenabilité. Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement. Il préfère les solutions élégantes et performantes aux solutions rapides.","[""Contexte documentaire :\n[Source 1 - Profil]\nJe privilégie la qualité du code, la clarté de la structure et la maintenabilité avant tout. Un bon projet est un projet que quelqu’un d’autre peut reprendre facilement.\n(Pertinence: 0.75)\n\n---\n\n[Source 2 - Philosophie]\nJe privilégie les solutions élégantes et performantes aux solutions rapides. L’élégance d’un code bien pensé se traduit toujours dans sa maintenance.\n(Pertinence: 0.72)\n\n---\n\n[Source 3 - Philosophie]\nJe crois qu’un bon d",VECTOR,VECTOR
Pourquoi as-tu choisi l'informatique ?,"👋 Bonne question ! Honnêtement, c'est surtout cette passion pour les **défis complexes** qui m'a attiré en informatique. 💻 

Ce qui me fascine vraiment, c'est ce déclic qu'on ressent quand on résout un problème technique difficile — cette sensation de créativité appliquée à la logique. J'aime particulièrement l'interface entre la **logique humaine et la logique machine**, cet espace où on peut vraiment innover.

Et puis, le fait qu'on n'ait jamais à faire exactement la même chose deux fois, c'est motivant ! 🚀 Chaque projet m'offre l'occasion de structurer de l'information, d'organiser des systèmes complexes et de me surpasser techniquement.

C'est vraiment cette combinaison de créativité, de rigueur et de variété qui m'a poussé à en faire mon métier. Et ça continue de me motiver au quotidien !

Tu es toi-même intéressé par l'informatique, ou tu cherches à mieux comprendre mon parcours ? ✨","Il est passionné d'informatique et de tous ses aspects qui mettent en jeu la logique, le raisonnement poussé et les défis en tout genre. Il est passionné par l'interface entre la logique humaine et la logique machine.","[""Contexte documentaire :\n[Source 1 - Soft Skills]\nCe qui me passionne en informatique, c'est le déclic que les projets complexes me procurent. Le fait qu'on n'ait pas toujours à faire la même chose me motive et me permet de laisser parler ma créativité. J'aime me surpasser sur des défis techniques.\n(Pertinence: 0.68)\n\n---\n\n[Source 2 - Profil]\nJ’apprécie particulièrement les projets qui demandent de structurer l’information et d’organiser des systèmes complexes.\n(Pertinence: 0.61)\n\n--",VECTOR,VECTOR
Quelles sont tes qualités professionnelles ?,"👋 Bonne question ! Je dirais que mes qualités professionnelles tournent autour de **trois piliers** :

**La technique et la rigueur** 💻 — Je suis pointilleux sur la qualité du code et la documentation. C'est important pour moi que ce que je livre soit solide et maintenable.

**Le leadership et la collaboration** — J'aime coordonner une équipe et je suis à l'aise autant en travail collectif qu'en autonomie. Ce que j'apprécie vraiment, c'est d'être challengé par mes collègues — ça stimule ma créativité et ma productivité. Je valorise aussi le partage de connaissances, parce que je crois qu'on grandit ensemble.

**L'efficacité sous pression** ⚡ — Je gère bien le stress et les deadlines, ce qui me permet de rester performant même quand ça s'accélère. J'ai aussi une approche simple et directe des problèmes, sans prise de tête inutile.

Et honnêtement, je vois chaque projet comme une opportunité d'apprendre et de m'améliorer — c'est ce qui me pousse à avancer.

**Tu cherches à savoir comment ces qualités s'appliquent à un projet spécifique, ou tu veux en savoir plus sur mon expérience en équipe ?** ✨","Il est logique, curieux et déterminé. Il aime comprendre le fonctionnement des systèmes complexes et trouver des solutions élégantes. Son approche repose sur la rigueur, la planification et la remise en question constante.","[""Contexte documentaire :\n[Source 1 - Soft Skills]\nMes principales qualités professionnelles sont: les compétences en gestion et coordination d'équipe, l'efficacité dans l'exécution des tâches, la rigueur dans le code et la documentation, une approche simple et directe des problèmes, et une énergie communicative.\n(Pertinence: 0.86)\n\n---\n\n[Source 2 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stim",VECTOR,VECTOR
Que valorises-tu dans le travail d'équipe ?,"👥 J'aime vraiment le travail d'équipe ! Ce que j'apprécie le plus, c'est d'être **challengé par mes collègues** — ça stimule ma créativité et ma productivité. Je crois fermement que les meilleures solutions naissent de l'échange et du partage de connaissances.

Je suis aussi à l'aise en autonomie, mais en équipe, j'aime cette dynamique où chacun pousse l'autre à se dépasser. 💪 Et honnêtement, je gère bien le stress et les deadlines, donc je peux être un élément fiable même sous pression.

Pour moi, chaque projet est une opportunité d'apprendre des autres et de m'améliorer. C'est ça qui me motive vraiment ! ✨

Tu cherches à savoir comment je pourrais contribuer à une équipe en particulier, ou tu veux en savoir plus sur mon expérience collaborative ?",Il valorise la collaboration et le partage de connaissances. Chaque projet est une opportunité d'apprendre et de s'améliorer.,"[""Contexte documentaire :\n[Source 1 - Philosophie]\nPour moi, chaque projet est une opportunité d’apprendre et de m’améliorer. Je valorise la collaboration et le partage de connaissances.\n(Pertinence: 0.76)\n\n---\n\n[Source 2 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stimule ma créativité et productivité. Je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace sous pression.",VECTOR,VECTOR
Quels sont tes objectifs de carrière ?,"👋 Salut ! Excellente question ! 🎯

Mes objectifs de carrière sont vraiment clairs dans ma tête. À court terme, je veux continuer à **renforcer mes compétences techniques** tout en développant mes capacités de **gestion et de leadership**. Mon but à 5 ans est d'accéder à un poste qui combine vraiment les deux — des responsabilités techniques solides avec la coordination d'une équipe.

Pour y arriver, je suis en train de me préparer à des **certifications en gestion de projet** comme le **PMP et ITIL**. C'est important pour moi de pas rester juste développeur, mais de vraiment comprendre comment piloter des projets et manager des équipes. 💪

Mes domaines de focus sont :
- **Développement web** (priorité haute) 🌐
- **Gestion de projets** (priorité haute) 📊
- **Intelligence artificielle** (priorité moyenne-haute) 🤖
- **DevOps** ☁️

Ce qui m'attire vraiment, c'est de trouver des rôles où je peux faire du technique *et* de la coordination — pas l'un ou l'autre, mais les deux ensemble.

Tu es curieux par rapport à un domaine en particulier, ou tu veux savoir comment je compte atteindre ces objectifs ? ✨","Il souhaite devenir gestionnaire de projet TI et développer ses compétences en gestion d'équipes, planification et coordination de projets technologiques. Il prévoit des certifications PMP et ITIL. Il garde une vision à long terme sans s'éloigner du volet technique.","[""Contexte documentaire :\n[Source 1 - Objectifs]\nMon objectif à 5 ans est de continuer à acquérir des connaissances et perfectionner mes compétences de gestion. Je vise un poste combinant responsabilités techniques et leadership d'équipe.\n(Pertinence: 0.70)\n\n---\n\n[Source 2 - Objectifs]\nJe prévois de suivre des certifications en gestion de projet, notamment PMP et ITIL, afin de compléter mes connaissances techniques par une solide base en management.\n(Pertinence: 0.52)\n\n---\n\n[Source ",VECTOR,VECTOR
Combien de projets as-tu réalisés ?,"Bonne question ! 🎯 D'après mes données, j'ai réalisé **4 projets** principaux. 

Cela dit, je dois te dire que le contexte que j'ai sous la main ne détaille pas chacun d'eux en profondeur. Ce que je peux te confirmer, c'est que dans chaque projet, j'applique ma philosophie : **qualité du code, clarté de la structure et maintenabilité**. 💻 Je m'assure toujours que mes projets sont transmissibles et bien documentés, parce que je crois qu'un bon projet est un projet que quelqu'un d'autre peut reprendre facilement.

Tu veux que je te parle d'un projet en particulier, ou tu préfères une vue d'ensemble de mes domaines d'expertise ? ✨","Il a réalisé plusieurs projets dont une application de gestion de dépenses, une application de gestion d'épicerie et un CV interactif sous forme de chatbot IA.","[""Donnees structurees (base de donnees) :\n[(4,)]\n\n---\n\nContexte documentaire :\n[Source 1 - Philosophie]\nPour moi, chaque projet est une opportunité d’apprendre et de m’améliorer. Je valorise la collaboration et le partage de connaissances.\n(Pertinence: 0.52)\n\n---\n\n[Source 2 - Compétences techniques]\nJ’ai développé un intérêt particulier pour la documentation technique claire et structurée, afin de rendre chaque projet transmissible et durable.\n(Pertinence: 0.50)\n\n---\n\n[Source 3",SQL,SQL
Quel diplôme as-tu obtenu ?,"🎓 J'ai obtenu mon diplôme en **Techniques de l'informatique** au Cégep de Chicoutimi, situé à Saguenay, au Québec. C'est un programme de formation technique qui m'a donné une solide base en développement logiciel et m'a permis de travailler sur des projets concrets comme mon système de point de vente (Super CChic) et ma plateforme e-commerce (NOVA GAMES).

Ce diplôme m'a vraiment préparé à relever des défis techniques variés, du développement full-stack à l'intégration de systèmes IA. 💪

Tu veux en savoir plus sur mes projets ou mes compétences techniques ?",Il a obtenu un DEC en Techniques de l'informatique au Cégep de Chicoutimi.,"[""Donnees structurees (base de donnees) :\n[(2, 'CV Chatbot RAG', 'cv-chatbot-rag-system', 'Assistant intelligent avec architecture RAG complète pour questions sur mon CV', 'Chatbot conversationnel utilisant une architecture RAG (Retrieval-Augmented Generation) avec routage sémantique intelligent. Intégration de LangChain, pgvector et Claude API pour des réponses contextuelles précises. Déployé sur AWS EC2 avec Caddy.', \""Projet personnel visant à démontrer l'expertise en systèmes d'IA conversat",SQL,SQL
As-tu de l'expérience en Python ?,"🐍 Oui, j'ai une bonne expérience en Python ! Je maîtrise ce langage à un niveau intermédiaire (3/5), et je l'utilise principalement pour le développement web avec **Django** et **FastAPI**.

Ce qui m'intéresse vraiment, c'est l'intégration d'APIs d'IA — j'ai travaillé avec Claude et Voyage AI pour construire des systèmes RAG sophistiqués. 💪 Au-delà du web, j'ai aussi développé des scripts d'automatisation et de simulation, comme des jeux de cartes simplifiés ou des outils de calcul de dépenses.

**Django** est vraiment mon framework de prédilection — je le maîtrise à un niveau avancé (4/5) et je peux développer des applications web complètes avec authentification OAuth, gestion de bases de données, APIs REST et tableaux de bord interactifs.

Tu veux que je te parle d'un projet Python spécifique, ou tu as des questions sur Django ou FastAPI ? ✨","Oui, il développe en Python avec Django et FastAPI.","[""Contexte documentaire :\n[Source 1 - Compétences techniques]\nJe maîtrise Python à un niveau intermédiaire (3/5), principalement pour le développement web avec Django et FastAPI. Je l'utilise aussi pour l'intégration d'APIs d'IA comme Claude et Voyage AI dans mes projets RAG.\n(Pertinence: 0.65)\n\n---\n\n[Source 2 - Projet]\nJ’ai aussi développé des scripts d’automatisation et de simulation en Python, notamment pour des jeux de cartes simplifiés et des calculs de répartition de dépenses.\n(Pe",SQL,SQL
Tu connais React ?,"Oui, bien sûr ! ⚛️ Je maîtrise React 18 et j'ai eu l'occasion de l'utiliser dans plusieurs projets, notamment pour développer le site web vitrine de mon système de point de vente **Super CChic**. 

J'aime particulièrement React pour sa flexibilité et sa capacité à créer des interfaces dynamiques et réactives. Avec TypeScript, c'est encore mieux pour la maintenabilité du code ! 💪

Tu travailles avec React toi-même, ou tu veux en savoir plus sur comment je l'ai intégré dans mes projets ?","Oui, il utilise React dans ses projets, notamment pour le développement frontend.","[""Donnees structurees (base de donnees) :\n[(1, 'Super CChic', 'super-cchic-pos-system', 'Système de point de vente complet pour épiceries - Projet ESP final (DEC Informatique)', 'Application desktop de caisse pour épiceries développée en C# WPF avec architecture MVVM. Inclut gestion des produits, transactions avec taxes TPS/TVQ, génération de factures PDF et rapports de ventes. Complété par une API REST Django déployée sur Azure App Service et un site web vitrine en React.', \""Projet ESP (Épreu",SQL,SQL
