user_input,response,reference,retrieved_contexts,_intent_expected,_intent_actual
Parle-moi de toi,"Salut! 👋 Je suis **Yann Willy Jordan Pokam Teguia**, développeur logiciel de 22 ans basé à Chicoutimi, au Québec. Je termine actuellement mon DEC en Techniques de l'informatique avec spécialisation en Conception et développement d'applications au Cégep de Chicoutimi (diplomation prévue en mai 2026).

## Ce qui me définit

Je me vois avant tout comme un **résolveur de problèmes** plutôt qu'un simple codeur. Pour moi, le développement, c'est un exercice continu de raisonnement : comprendre un besoin, structurer une solution, anticiper les embûches. Je suis convaincu que la vraie valeur ajoutée d'un bon développeur se déplace progressivement vers la capacité d'architecturer, de questionner et de piloter — surtout avec l'évolution rapide de l'IA.

## Mon profil technique

Mon socle solide, c'est **C#** — ma langue maternelle en développement. J'ai une formation académique structurée en programmation orientée objet, conception de bases de données, développement web et gestion de projets. Mais en parallèle, j'ai construit une expertise personnelle en **intelligence artificielle appliquée** : systèmes RAG, agents LangGraph, architectures multi-sources. Je préfère **Python** pour explorer rapidement mes idées, même si je suis plus à l'aise en C#.

## Ma vision

À moyen terme, je veux coupler progressivement l'expertise technique en IA avec des responsabilités de gestion de projet. Je cherche un environnement agile où je peux confirmer mon niveau de développeur tout en contribuant à améliorer les affaires via la technologie. La progression et les opportunités d'apprentissage sont mes priorités absolues. 🚀

Pour mon premier emploi, je vise une startup ou une petite structure où je peux grandir rapidement et rester proche de l'innovation.

Curieux d'en savoir plus sur un aspect particulier? 😊","Yann Willy Jordan Pokam Teguia est un jeune diplômé en Techniques de l'informatique au Cégep de Chicoutimi, passionné par les systèmes intelligents, la logique et les projets qui allient rigueur et créativité.","[""[Source 1 - profil_details]\nPortrait professionnel complet\n\nYann Willy Jordan Pokam Teguia\n\nDéveloppeur logiciel — Saguenay, Québec\n\n1. Présentation et positionnement\n\nJe m'appelle Yann Willy Jordan Pokam Teguia. Je suis un développeur logiciel de 22 ans basé à Chicoutimi, au Québec, et je termine actuellement mon DEC en Techniques de l'informatique avec spécialisation en Conception et développement d'applications au Cégep de Chicoutimi. Ma diplomation est prévue en mai 2026. Ce qui m",VECTOR,AGENT
Quelle est ta philosophie de code ?,"Ma philosophie de code repose sur quelques principes fondamentaux : 💻

**Qualité et maintenabilité avant tout**
Je privilégie la clarté de la structure et la maintenabilité plutôt que des solutions rapides et bricolées. Pour moi, un bon projet est un projet que quelqu'un d'autre peut reprendre facilement — sans avoir besoin de passer une semaine à déchiffrer mon intention originale. L'élégance d'un code bien pensé se traduit toujours dans sa maintenance.

**Au-delà du simple codage**
Je ne me vois pas comme un simple codeur. Je crois qu'un bon développeur doit :
- **Comprendre le besoin** réel derrière la demande
- **Structurer la solution** de manière réfléchie
- **Anticiper les erreurs** possibles et les cas limites

**Résolveur de problèmes**
Ce qui me caractérise avant tout, c'est une posture de résolveur de problèmes. Avec l'évolution rapide des outils d'IA et des assistants au développement, je suis convaincu que la vraie valeur ajoutée se déplace progressivement vers la capacité d'architecturer, de questionner et de piloter — plutôt que vers la mécanique brute du code.

**Apprentissage continu**
Chaque projet est une opportunité d'apprendre et de m'améliorer. Je valorise énormément la collaboration et le partage de connaissances avec mes pairs. 🚀

En résumé : code élégant, pensée structurée, et toujours garder l'utilisateur final en tête.","Il privilégie la qualité du code, la clarté de la structure et la maintenabilité. Un bon projet est un projet que quelqu'un d'autre peut reprendre facilement. Il préfère les solutions élégantes et performantes aux solutions rapides.","[""[Source 1 - profil_details]\nPortrait professionnel complet\n\nYann Willy Jordan Pokam Teguia\n\nDéveloppeur logiciel — Saguenay, Québec\n\n1. Présentation et positionnement\n\nJe m'appelle Yann Willy Jordan Pokam Teguia. Je suis un développeur logiciel de 22 ans basé à Chicoutimi, au Québec, et je termine actuellement mon DEC en Techniques de l'informatique avec spécialisation en Conception et développement d'applications au Cégep de Chicoutimi. Ma diplomation est prévue en mai 2026. Ce qui m",VECTOR,AGENT
Pourquoi as-tu choisi l'informatique ?,"Excellente question ! 🎯

J'ai choisi l'informatique parce que je suis vraiment passionné par tous ses aspects qui mettent en jeu la **logique, le raisonnement poussé et les défis**. Ce qui me fascine particulièrement, c'est le **déclic que les projets complexes me procurent** — le fait qu'on n'ait pas toujours à faire la même chose me motive énormément et me permet de laisser parler ma créativité.

J'aime vraiment me surpasser sur des défis techniques. Il y a quelque chose de gratifiant à résoudre des problèmes compliqués et à construire des solutions qui fonctionnent. C'est pour ça que j'ai choisi de poursuivre mes études en Techniques de l'informatique au Cégep de Chicoutimi, avec une spécialisation en Conception et Développement d'applications. 💻

D'ailleurs, c'est cette passion qui m'a poussé à créer ce CV électronique avec un chatbot IA — c'était une belle occasion de démontrer concrètement mes compétences techniques tout en offrant quelque chose d'original à un recruteur ! ✨","Il est passionné d'informatique et de tous ses aspects qui mettent en jeu la logique, le raisonnement poussé et les défis en tout genre. Il est passionné par l'interface entre la logique humaine et la logique machine.","[""[Source 1 - Soft Skills]\nCe qui me passionne en informatique, c'est le déclic que les projets complexes me procurent. Le fait qu'on n'ait pas toujours à faire la même chose me motive et me permet de laisser parler ma créativité. J'aime me surpasser sur des défis techniques.\n(Pertinence: 0.81)\n\n---\n\n[Source 2 - Général]\nJe m'appelle Yann Willy Jordan Pokam Teguia et je suis étudiant finissant en Techniques de l'informatique au Cégep de Chicoutimi, spécialisation Conception et Développeme",VECTOR,AGENT
Quelles sont tes qualités professionnelles ?,"Excellente question ! 🎯 Voici mes principales qualités professionnelles :

**Ma plus grande force** est ma **capacité de raisonnement et de résolution de problèmes**. Je ne me vois pas comme un simple technicien qui écrit du code — je suis quelqu'un qui comprend un problème, le décompose et orchestre une solution cohérente. Cette force s'appuie sur :

- **L'architecture logicielle** : je conçois des structures propres et maintenables
- **L'apprentissage continu** : je me cultive constamment sur les nouvelles technologies
- **La rigueur et la discipline** : héritage de mes expériences en environnement industriel où la sécurité et la précision ne sont pas optionnelles

**Autres qualités clés** :
- 🤝 **Gestion et coordination d'équipe** : j'aime travailler avec les autres et orchestrer les efforts collectifs
- ⚡ **Efficacité dans l'exécution** : je suis productif, surtout sur les sprints courts
- 📝 **Rigueur dans le code et la documentation** : je crois que le code doit être lisible et maintenable
- 💬 **Approche directe et communicative** : j'aime expliquer simplement les choses complexes

**Axes d'amélioration** que je travaille activement :
- Mieux **déléguer** (j'ai tendance à vouloir tout faire moi-même)
- Améliorer ma **gestion du temps sur les longs projets** pour maintenir un rythme constant

Ces deux axes me préparent à évoluer vers des rôles de gestion de projet. 💪","Il est logique, curieux et déterminé. Il aime comprendre le fonctionnement des systèmes complexes et trouver des solutions élégantes. Son approche repose sur la rigueur, la planification et la remise en question constante.","[""[Source 1 - Soft Skills]\nMes principales qualités professionnelles sont: les compétences en gestion et coordination d'équipe, l'efficacité dans l'exécution des tâches, la rigueur dans le code et la documentation, une approche simple et directe des problèmes, et une énergie communicative.\n(Pertinence: 0.75)\n\n---\n\n[Source 2 - profil_details]\nLa rigueur et la sécurité, dans un environnement industriel, ne sont pas des options mais des obligations — une exigence qui peut varier d'une entrep",VECTOR,AGENT
Que valorises-tu dans le travail d'équipe ?,"Dans le travail d'équipe, je valorise vraiment plusieurs choses : 🤝

**La collaboration et le partage de connaissances** - Pour moi, chaque projet est une opportunité d'apprendre et de m'améliorer ensemble. Je crois que les meilleures solutions naissent quand on échange nos idées et qu'on s'enrichit mutuellement.

**Les défis constructifs** - J'apprécie être challengé par les membres de mon équipe car cela stimule ma créativité et ma productivité. Les différentes perspectives poussent à trouver de meilleures solutions.

**La gestion efficace sous pression** - Je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace et de soutenir l'équipe même dans les moments intenses. 💪

**La communication directe et simple** - J'aime aborder les problèmes de façon pragmatique et claire, sans détours inutiles, ce qui facilite la collaboration.

En résumé, je suis à l'aise autant en travail d'équipe qu'en autonomie, mais ce que j'aime vraiment, c'est cette dynamique où chacun apporte sa pierre à l'édifice et où on grandit ensemble ! ✨",Il valorise la collaboration et le partage de connaissances. Chaque projet est une opportunité d'apprendre et de s'améliorer.,"[""[Source 1 - Philosophie]\nPour moi, chaque projet est une opportunité d’apprendre et de m’améliorer. Je valorise la collaboration et le partage de connaissances.\n(Pertinence: 0.63)\n\n---\n\n[Source 2 - Soft Skills]\nJe suis à l'aise autant en travail d'équipe qu'en autonomie. En équipe, j'apprécie être challengé par les membres car cela stimule ma créativité et productivité. Je gère bien le stress et les deadlines, ce qui me permet d'être plus efficace sous pression.\n(Pertinence: 0.60)\n\n-",VECTOR,AGENT
Quels sont tes objectifs de carrière ?,"Excellente question ! 🎯 Voici mes objectifs de carrière :

**À court/moyen terme (5 ans)**, je vise un poste qui **combine responsabilités techniques et leadership d'équipe**. Je ne veux pas simplement rester développeur individuel — je veux progresser vers la gestion de projet et la coordination d'équipes.

**Mes domaines de prédilection** sont :
- 🌐 **Développement web** (priorité haute)
- 📊 **Gestion de projets** (priorité haute)
- 🤖 **Intelligence artificielle** (priorité moyenne-haute)
- ⚙️ **DevOps**

**Ce qui me motive vraiment**, c'est de **comprendre un problème, le décomposer et orchestrer une solution**. Ma plus grande force est ma capacité de raisonnement et de résolution de problèmes — je me vois comme quelqu'un qui pense architecture et impact global, pas juste comme un technicien qui écrit du code.

**Mes axes de progression prioritaires** pour atteindre ces objectifs sont :
1. **Améliorer ma capacité à déléguer** (j'ai tendance à vouloir tout faire moi-même)
2. **Mieux gérer le temps sur les longs projets** (je suis efficace en sprints courts, mais j'ai besoin de structurer mes jalons sur plusieurs mois)

Ces deux axes forment vraiment une seule compétence : la **bonne gestion professionnelle**, qui est cohérente avec ma vision vers la gestion de projet. 💪","Il souhaite devenir gestionnaire de projet TI et développer ses compétences en gestion d'équipes, planification et coordination de projets technologiques. Il prévoit des certifications PMP et ITIL. Il garde une vision à long terme sans s'éloigner du volet technique.","[""[Source 1 - Objectifs]\nMon objectif à 5 ans est de continuer à acquérir des connaissances et perfectionner mes compétences de gestion. Je vise un poste combinant responsabilités techniques et leadership d'équipe.\n(Pertinence: 0.59)\n\n---\n\n[Source 2 - profil_details]\nLa rigueur et la sécurité, dans un environnement industriel, ne sont pas des options mais des obligations — une exigence qui peut varier d'une entreprise à l'autre, mais qui apprend la discipline professionnelle de base. J'ai",VECTOR,AGENT
Combien de projets as-tu réalisés ?,"J'ai réalisé **4 projets** dans mon portfolio ! 🚀 

Chacun d'entre eux représente une opportunité d'apprentissage et de mise en pratique de différentes technologies. Si tu veux en savoir plus sur l'un d'eux en particulier ou connaître les technologies utilisées, n'hésite pas à me poser la question ! 😊","Il a réalisé plusieurs projets dont une application de gestion de dépenses, une application de gestion d'épicerie et un CV interactif sous forme de chatbot IA.","[""[(4,)]""]",SQL,AGENT
Quel diplôme as-tu obtenu ?,"Parfait ! Voici mes diplômes et formations : 📚

J'ai obtenu mon **Baccalauréat scientifique** au Cameroun en 2021 au Complexe Scolaire International La Gaieté, avec une spécialisation en mathématiques, physique et chimie. Cette formation m'a donné une solide base analytique et logique, essentielle pour la programmation.

Actuellement, je poursuis un **DEC en Techniques de l'informatique** au Cégep de Chicoutimi, avec une spécialisation en Conception et Développement d'applications. Mon programme a débuté en août 2023 et se terminera en mai 2026. 🎓

C'est une formation très pratique qui me permet de développer des compétences concrètes en développement logiciel, architecture et conception d'applications !",Il a obtenu un DEC en Techniques de l'informatique au Cégep de Chicoutimi.,"[""Aucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - Formation]\nJ'ai obtenu mon Baccalauréat scientifique au Cameroun en 2021 au Complexe Scolaire International La Gaieté, avec spécialisation en mathématiques, physique et chimie. Cette formation m'a donné une solide base analytique et logique essentielle en programmation.\n(Pertinence: 0.45)\n\n---\n\n[Source 2 - Formation]\nJe poursuis actuellement un DEC en Techniques de l'informatique au Cégep de Chicoutimi, avec une spécialisa",SQL,AGENT
As-tu de l'expérience en Python ?,"Oui, j'ai de l'expérience en Python ! 🐍 

Je maîtrise Python à un niveau **intermédiaire (3/5)**, principalement pour le développement web. Voici ce que je fais avec :

- **Frameworks web** : Django (niveau avancé 4/5) et FastAPI pour développer des applications web complètes avec authentification, gestion de bases de données et APIs REST
- **Intégration d'IA** : J'utilise Python pour intégrer des APIs d'IA comme Claude et Voyage AI dans mes projets RAG
- **Automatisation et scripts** : J'ai développé des scripts d'automatisation et de simulation, notamment pour des jeux de cartes simplifiés et des calculs de répartition de dépenses

Django est vraiment mon framework Python principal, et je l'utilise régulièrement dans mes projets professionnels. 💪","Oui, il développe en Python avec Django et FastAPI.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.\n\n---\n\n[Source 1 - Compétences techniques]\nJe maîtrise Python à un niveau intermédiaire (3/5), principalement pour le développement web avec Django et FastAPI. Je l'utilise aussi pour l'intégration d'APIs d'IA comme Claude et Voyage AI dans mes projets RAG.\n(Pertinence: 0.69)\n\n---\n\n[Source 2 - Projet]\nJ’ai aussi développé des scripts d’automatisation et de simulation en Python, notamment p",SQL,AGENT
Tu connais React ?,"Je m'excuse, je rencontre une difficulté à accéder à mes données de compétences en ce moment. 😅 

Cependant, je peux te dire que je suis un développeur logiciel basé à Saguenay, Québec, et je travaille avec diverses technologies modernes. Pour avoir une vue complète et précise de mes compétences avec React et autres frameworks, je t'invite à consulter mon portfolio ou mon CV directement.

Y a-t-il un projet spécifique que tu aimerais voir, ou une autre question que je pourrais t'aider à clarifier ? 💻","Oui, il utilise React dans ses projets, notamment pour le développement frontend.","[""Aucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.\n\n---\n\nAucun résultat trouvé dans la table datas.""]",SQL,AGENT
